Time (s),Voltage (V)
39.72,-0.008
39.76,-0.002
39.800000000000004,0.0
39.84,0.0
39.88,0.0
39.92,-0.002
39.96,-0.002
40.0,0.0
40.04,0.0
40.08,0.0
40.12,0.0
40.160000000000004,0.004
40.2,0.004
40.24,0.002
40.28,0.0
40.32,0.0
40.36,-0.002
40.4,-0.004
40.44,-0.004
40.480000000000004,0.0
40.52,-0.002
40.56,-0.002
40.6,-0.004
40.64,-0.004
40.68,0.0
40.72,0.002
40.76,0.002
40.800000000000004,0.004
40.84,0.006
40.88,0.006
40.92,0.0
40.96,-0.004
41.0,0.0
41.04,0.002
41.08,0.0
41.12,0.0
41.160000000000004,0.0
41.2,0.002
41.24,0.0
41.28,0.0
41.32,-0.004
41.36,-0.004
41.4,0.002
41.44,0.006
41.480000000000004,0.004
41.52,0.002
41.56,0.002
41.6,0.002
41.64,-0.002
41.68,-0.002
41.72,0.0
41.76,0.0
41.800000000000004,-0.004
41.84,-0.004
41.88,-0.006
41.92,-0.006
41.96,-0.002
42.0,0.0
42.04,0.0
42.08,0.002
42.12,0.004
42.160000000000004,0.0
42.2,-0.004
42.24,0.0
42.28,0.002
42.32,0.0
42.36,0.0
42.4,0.002
42.44,0.0
42.480000000000004,0.0
42.52,0.0
42.56,-0.002
42.6,-0.004
42.64,0.002
42.68,0.004
42.72,0.0
42.76,0.002
42.800000000000004,0.004
42.84,0.004
42.88,0.0
42.92,0.002
42.96,0.004
43.0,0.002
43.04,0.0
43.08,0.0
43.12,-0.004
43.160000000000004,-0.004
43.2,-0.002
43.24,-0.006
43.28,-0.004
43.32,0.002
43.36,0.004
43.4,-0.004
43.44,0.0
43.480000000000004,0.004
43.52,0.004
43.56,-0.004
43.6,0.0
43.64,0.002
43.68,0.002
43.72,0.0
43.76,0.0
43.800000000000004,-0.004
43.84,-0.004
43.88,0.0
43.92,0.0
43.96,-0.004
44.0,0.0
44.04,0.004
44.08,0.0
44.12,0.0
44.160000000000004,0.004
44.2,0.004
44.24,0.002
44.28,0.002
44.32,0.002
44.36,0.0
44.4,0.0
44.44,0.0
44.480000000000004,-0.004
44.52,-0.004
44.56,0.0
44.6,0.0
44.64,-0.004
44.68,0.002
44.72,0.006
44.76,0.0
44.800000000000004,-0.004
44.84,0.0
44.88,0.0
44.92,0.002
44.96,0.002
45.0,0.002
45.04,0.002
45.08,0.002
45.12,0.0
45.160000000000004,-0.004
45.2,-0.006
45.24,-0.002
45.28,0.0
45.32,0.0
45.36,0.004
45.4,0.002
