Time (s),Voltage (V)
567.2,0.002
567.24,0.002
567.28,0.0
567.32,0.0
567.36,0.002
567.4,0.002
567.44,0.002
567.48,0.006
567.52,0.004
567.5600000000001,-0.002
567.6,0.002
567.64,0.008
567.6800000000001,0.006
567.72,0.002
567.76,0.004
567.8000000000001,0.0
567.84,0.0
567.88,0.002
567.92,0.0
567.96,-0.004
568.0,0.0
568.04,0.002
568.08,0.0
568.12,0.0
568.16,0.004
568.2,0.0
568.24,-0.004
568.28,0.0
568.32,0.01
568.36,0.006
568.4,0.002
568.44,0.006
568.48,0.004
568.52,0.0
568.5600000000001,0.0
568.6,0.0
568.64,0.0
568.6800000000001,0.002
568.72,0.004
568.76,0.002
568.8000000000001,0.002
568.84,0.004
568.88,0.006
568.92,0.002
568.96,0.002
569.0,0.004
569.04,0.004
569.08,0.004
569.12,0.004
569.16,0.0
569.2,0.0
569.24,0.002
569.28,0.0
569.32,0.0
569.36,0.002
569.4,0.004
569.44,0.0
569.48,-0.004
569.52,0.0
569.5600000000001,0.004
569.6,0.004
569.64,0.002
569.6800000000001,0.004
569.72,0.008
569.76,0.004
569.8000000000001,0.002
569.84,0.0
569.88,0.0
569.92,0.0
569.96,0.0
570.0,0.002
570.04,0.002
570.08,0.004
570.12,0.002
570.16,0.0
570.2,-0.002
570.24,0.002
570.28,0.008
570.32,0.008
570.36,0.004
570.4,0.004
570.44,0.002
570.48,0.0
570.52,0.0
570.5600000000001,0.0
570.6,0.0
570.64,0.002
570.6800000000001,0.0
570.72,-0.002
570.76,0.0
570.8000000000001,0.004
570.84,0.0
570.88,0.0
570.92,0.004
570.96,0.008
571.0,0.006
571.04,0.004
571.08,0.004
571.12,0.0
571.16,0.0
571.2,0.004
571.24,0.0
571.28,0.0
571.32,0.002
571.36,0.004
571.4,0.0
571.44,-0.004
571.48,0.004
571.52,0.004
571.5600000000001,0.004
571.6,0.006
571.64,0.004
571.6800000000001,0.004
571.72,0.004
571.76,0.002
571.8000000000001,0.0
571.84,0.0
571.88,0.004
571.92,0.002
571.96,0.0
572.0,0.004
572.04,0.0
572.08,-0.006
572.12,-0.004
572.16,0.002
572.2,0.002
572.24,0.004
572.28,0.008
572.32,0.002
572.36,0.0
572.4,0.002
572.44,0.002
572.48,-0.004
572.52,0.0
572.5600000000001,0.004
572.6,0.002
572.64,-0.002
572.6800000000001,0.0
572.72,0.002
572.76,0.0
572.8000000000001,0.002
572.84,0.004
572.88,0.002
572.92,0.004
572.96,0.01
573.0,0.004
573.04,0.0
573.08,0.004
573.12,0.006
573.16,0.0
573.2,0.004
573.24,0.004
573.28,0.0
573.32,-0.004
573.36,0.0
573.4,0.002
573.44,0.0
573.48,0.002
573.52,0.002
573.5600000000001,0.002
573.6,0.004
573.64,0.006
573.6800000000001,0.004
573.72,-0.002
573.76,0.0
573.8000000000001,0.002
573.84,0.0
573.88,-0.002
573.92,0.0
573.96,0.0
574.0,0.0
574.04,-0.002
574.08,-0.002
574.12,-0.002
574.16,0.002
574.2,0.004
574.24,0.002
574.28,0.002
574.32,0.004
574.36,0.004
574.4,0.002
574.44,0.002
574.48,0.004
574.52,0.002
574.5600000000001,0.0
574.6,0.002
574.64,0.002
574.6800000000001,0.0
574.72,-0.004
574.76,0.0
574.8000000000001,0.002
574.84,0.002
574.88,0.008
574.92,0.006
574.96,0.004
575.0,0.002
575.04,0.004
575.08,0.002
575.12,0.0
575.16,0.002
575.2,0.004
575.24,0.0
575.28,0.0
575.32,-0.004
575.36,-0.004
575.4,0.0
575.44,0.004
575.48,0.002
575.52,0.002
575.5600000000001,0.004
575.6,0.004
575.64,0.002
575.6800000000001,0.002
575.72,0.002
575.76,0.002
575.8000000000001,0.002
575.84,0.002
575.88,0.004
575.92,0.0
575.96,-0.006
576.0,-0.002
576.04,-0.002
576.08,0.0
576.12,0.004
576.16,0.004
576.2,0.002
576.24,0.002
576.28,0.004
576.32,0.004
576.36,0.0
576.4,0.0
576.44,0.004
576.48,0.002
576.52,0.0
576.5600000000001,0.0
576.6,-0.002
576.64,0.0
576.6800000000001,0.0
576.72,-0.002
576.76,-0.002
576.8000000000001,0.002
576.84,0.004
576.88,0.002
576.92,0.0
576.96,0.004
577.0,0.002
577.04,0.002
577.08,0.008
577.12,0.008
577.16,0.0
577.2,0.0
577.24,0.0
577.28,-0.004
577.32,0.0
577.36,0.002
577.4,0.004
577.44,0.0
577.48,0.006
577.52,0.008
577.5600000000001,0.0
577.6,0.002
577.64,0.002
577.6800000000001,0.002
577.72,0.002
577.76,0.002
577.8000000000001,0.0
577.84,0.002
577.88,0.002
577.92,-0.002
577.96,-0.006
578.0,-0.004
578.04,0.0
578.08,0.0
578.12,0.0
578.16,0.0
578.2,0.0
578.24,0.0
578.28,0.002
578.32,0.004
578.36,0.002
578.4,0.002
578.44,0.002
578.48,0.0
578.52,0.0
578.5600000000001,0.0
578.6,0.0
578.64,-0.004
578.6800000000001,0.0
578.72,0.002
578.76,0.004
578.8000000000001,0.004
578.84,0.002
578.88,0.002
578.92,0.002
578.96,0.004
579.0,0.002
579.04,0.004
579.08,0.004
579.12,0.008
579.16,-0.002
579.2,-0.006
579.24,-0.004
579.28,0.002
579.32,0.0
579.36,0.0
579.4,0.0
579.44,0.0
579.48,0.0
579.52,0.004
579.5600000000001,0.002
579.6,0.0
579.64,0.002
579.6800000000001,0.004
579.72,0.004
579.76,0.0
579.8000000000001,0.0
579.84,0.0
579.88,-0.006
579.92,-0.006
579.96,0.0
580.0,0.002
580.04,0.0
580.08,0.002
580.12,0.002
580.16,0.0
580.2,0.0
580.24,0.002
580.28,0.002
580.32,0.002
580.36,0.008
580.4,0.004
580.44,0.0
580.48,0.0
580.52,0.002
580.5600000000001,-0.002
580.6,-0.004
580.64,0.0
580.6800000000001,0.0
580.72,0.0
580.76,0.002
580.8000000000001,0.0
580.84,-0.004
580.88,0.0
580.92,0.006
580.96,0.004
581.0,0.002
581.04,0.004
581.08,0.002
581.12,-0.004
581.16,-0.004
581.2,0.002
581.24,0.0
581.28,-0.004
581.32,0.0
581.36,0.004
581.4,0.0
581.44,0.0
581.48,0.0
581.52,-0.004
581.5600000000001,0.0
581.6,0.006
581.64,0.004
581.6800000000001,0.0
581.72,0.002
581.76,0.004
581.8000000000001,-0.004
581.84,-0.006
581.88,-0.006
581.92,-0.006
581.96,-0.004
582.0,-0.004
582.04,-0.008
582.08,-0.01
582.12,-0.008
582.16,-0.006
582.2,-0.008
582.24,-0.008
582.28,-0.006
582.32,-0.006
582.36,-0.01
582.4,-0.012
582.44,-0.012
582.48,-0.014
582.52,-0.018000000000000002
582.5600000000001,-0.016
582.6,-0.012
582.64,-0.014
582.6800000000001,-0.012
582.72,-0.018000000000000002
582.76,-0.02
582.8000000000001,-0.016
582.84,-0.012
582.88,-0.016
582.92,-0.014
582.96,-0.012
583.0,-0.012
583.04,-0.014
583.08,-0.016
583.12,-0.016
583.16,-0.016
583.2,-0.016
583.24,-0.018000000000000002
583.28,-0.02
583.32,-0.02
583.36,-0.016
583.4,-0.016
583.44,-0.02
583.48,-0.018000000000000002
583.52,-0.014
583.5600000000001,-0.014
583.6,-0.012
583.64,-0.012
583.6800000000001,-0.012
583.72,-0.016
583.76,-0.02
583.8000000000001,-0.018000000000000002
583.84,-0.016
583.88,-0.012
583.92,-0.014
583.96,-0.016
584.0,-0.016
584.04,-0.012
584.08,-0.012
584.12,-0.016
584.16,-0.014
584.2,-0.008
584.24,-0.008
